"_id","price","expense","transactions"
"63bf7ac9f03239e002001600","$43.41","$5.97","63bf7ccef03239554c002449, 63bf7ccef03239855d00155c, 63bf7ccef032397b4f001603, 63bf7ccef03239eb9d0016d4"
"63bf7ac9f03239e002001601","$60.13","$9.12","63bf7ccef032396a8e001696, 63bf7ccef0323922d2001694, 63bf7ccef03239855d001557, 63bf7ccef03239554c00244d"
"63bf7ac9f03239e002001602","$195.05","$6.72","63bf7ccef03239e002001606, 63bf7ccef0323922d200169a"
"63bf7ac9f03239e002001603","$46.25","$9.95","63bf7ccef03239aec900155b, 63bf7ccef03239eb9d0016d3, 63bf7ccef03239aec9001559"
"63bf7ac9f03239e002001604","$87.41","$7.97","63bf7ccef03239855d00155d, 63bf7ccef03239855d001561, 63bf7ccef03239e00200160e, 63bf7ccef0323922d2001697, 63bf7ccef032394f5f002442"
"63bf7ac9f03239e002001605","$73.28","$7.85","63bf7ccef03239966c0016a0, 63bf7ccef03239966c00169f, 63bf7ccef032394cbd0016a0, 63bf7ccef03239554c002453, 63bf7ccef0323901e6001557"
"63bf7ac9f03239343e00169b","$130.65","$7.95","63bf7ccef0323901e6001560, 63bf7ccef032396d89000013"
"63bf7ac9f03239343e00169c","$198.54","$9.50","63bf7ccef03239eb9d0016d9, 63bf7ccef032396a8e001696, 63bf7ccef03239cf1b0016a7, 63bf7ccef0323901e6001562"
"63bf7ac9f03239343e00169d","$147.32","$5.86","63bf7ccef03239343e0016a9, 63bf7ccef03239f920001690"
"63bf7ac9f03239343e00169e","$187.22","$5.82","63bf7ccef03239aec9001560, 63bf7ccef032396d8900000f, 63bf7ccef0323922d2001697"
"63bf7ac9f03239343e00169f","$162.43","$3.28","63bf7ccef032395ccf001697, 63bf7ccef0323901e600155e, 63bf7ccef03239aec9001559"
"63bf7ac9f03239343e0016a0","$30.09","$8.55","63bf7ccef03239343e0016a3"
"63bf7ac9f0323901e6001551","$31.07","$4.98","63bf7ccef032395ccf001695, 63bf7ccef03239eb9d0016dd, 63bf7ccef032397b4f001606, 63bf7ccef03239855d00155b, 63bf7ccef032397b4f001604"
"63bf7ac9f0323901e6001552","$12.21","$6.82","63bf7ccef03239855d00155c, 63bf7ccef032395ccf001696, 63bf7ccef03239cf1b0016a2, 63bf7ccef032396a8e00169a, 63bf7ccef03239966c00169a"
"63bf7ac9f0323901e6001553","$76.31","$3.84","63bf7ccef03239e002001608, 63bf7ccef0323922d200169b, 63bf7ccef03239eb9d0016e6"
"63bf7ac9f0323901e6001554","$169.87","$8.35","63bf7ccef03239eb9d0016d5, 63bf7ccef03239966c00169e, 63bf7ccef0323974200016a7"
"63bf7ac9f0323901e6001555","$187.36","$8.12","63bf7ccef032394f5f00243a, 63bf7ccef03239eb9d0016de, 63bf7ccef03239f920001696"
"63bf7ac9f0323901e6001556","$67.29","$6.32","63bf7ccef032396d89000015, 63bf7ccef03239f920001690, 63bf7ccef03239eb9d0016d2"
"63bf7ac9f032394cbd001699","$85.35","$9.33","63bf7ccef03239aec9001558, 63bf7ccef03239f92000169a, 63bf7ccef03239742000169d, 63bf7ccef03239554c00244a"
"63bf7ac9f032394cbd00169a","$35.75","$9.93","63bf7ccef03239554c002453, 63bf7ccef03239e002001608, 63bf7ccef0323937a500168d"
"63bf7ac9f032394cbd00169b","$59.80","$1.51","63bf7ccef0323937a5001690, 63bf7ccef03239e00200160b, 63bf7ccef032394f5f002441, 63bf7ccef0323975d60016a3, 63bf7ccef032395ccf00169f"
"63bf7ac9f032394cbd00169c","$86.45","$3.55","63bf7ccef032396d8900000f"
"63bf7ac9f032394cbd00169d","$142.21","$1.85","63bf7ccef032396a8e001698, 63bf7ccef03239eb9d0016d0"
"63bf7ac9f032394cbd00169e","$10.01","$5.61","63bf7ccef03239e002001610, 63bf7ccef03239f920001699, 63bf7ccef03239966c00169a, 63bf7ccef03239e002001611, 63bf7ccef032394cbd00169f"
"63bf7ac9f03239cf1b001698","$112.78","$6.74","63bf7ccef032396a8e00169d, 63bf7ccef032396a8e001695"
"63bf7ac9f03239cf1b001699","$156.34","$6.26","63bf7ccef03239e002001606"
"63bf7ac9f03239cf1b00169a","$119.34","$8.62","63bf7ccef0323975d600169e, 63bf7ccef03239554c00244b"
"63bf7ac9f03239cf1b00169b","$87.49","$8.74","63bf7ccef03239343e0016ac, 63bf7ccef0323937a5001698"
"63bf7ac9f03239cf1b00169c","$34.52","$2.31","63bf7ccef03239aec9001562, 63bf7ccef0323937a500168d"
"63bf7ac9f03239cf1b00169d","$90.83","$7.83","63bf7ccef0323975d6001698, 63bf7ccef032394f5f002439, 63bf7ccef03239e00200160f, 63bf7ccef0323975d600169b, 63bf7ccef03239aec9001557"
"63bf7ac9f03239aec9001551","$181.98","$3.02","63bf7ccef032395ccf001698, 63bf7ccef03239343e0016ab, 63bf7ccef0323975d60016a2, 63bf7ccef03239cf1b0016a7"
"63bf7ac9f03239aec9001552","$62.17","$9.52","63bf7ccef03239855d00155e, 63bf7ccef03239966c00169e"
"63bf7ac9f03239aec9001553","$83.76","$1.09","63bf7ccef0323975d60016a3, 63bf7ccef032394f5f002444, 63bf7ccef03239554c002450, 63bf7ccef032395ccf00169b"
"63bf7ac9f03239aec9001554","$62.47","$2.38","63bf7ccef03239eb9d0016e4, 63bf7ccef03239eb9d0016d0, 63bf7ccef03239966c00169b, 63bf7ccef03239eb9d0016d5, 63bf7ccef0323975d6001698"
"63bf7ac9f03239aec9001555","$54.68","$5.12","63bf7ccef032396d89000013, 63bf7ccef0323974200016a7, 63bf7ccef0323922d2001699, 63bf7ccef03239e002001608"
"63bf7ac9f03239aec9001556","$91.72","$4.73","63bf7ccef03239cf1b0016a3, 63bf7ccef032394f5f00243e, 63bf7ccef0323974200016a2"
"63bf7ac9f03239554c002443","$159.65","$3.79","63bf7ccef03239554c00244e, 63bf7ccef03239855d001561, 63bf7ccef032395ccf00169b, 63bf7ccef03239343e0016aa, 63bf7ccef032394f5f002439"
"63bf7ac9f03239554c002444","$190.89","$5.24","63bf7ccef03239343e0016a2, 63bf7ccef0323974200016a3, 63bf7ccef0323922d200169c, 63bf7ccef03239966c00169e, 63bf7ccef03239cf1b0016a7"
"63bf7ac9f03239554c002445","$155.13","$1.68","63bf7ccef03239cf1b00169f, 63bf7ccef03239966c00169f, 63bf7ccef0323937a5001697, 63bf7ccef0323975d60016a2"
"63bf7ac9f03239554c002446","$43.82","$7.85","63bf7ccef03239eb9d0016dd, 63bf7ccef0323901e6001557"
"63bf7ac9f03239554c002447","$58.31","$9.94","63bf7ccef03239cf1b0016a6, 63bf7ccef03239966c00169a, 63bf7ccef0323974200016a1, 63bf7ccef0323975d600169c"
"63bf7ac9f03239554c002448","$138.47","$6.40","63bf7ccef032397b4f001606, 63bf7ccef03239f920001691, 63bf7ccef03239966c001698"
